analysis_id,zn267vnv0v78fdq
gene_symbol,Slc2a8
parameter_id,IMPC_GEO_011_001
gene_accession_id,MGI:1860103
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6145649
parameter_name,Blood Vessel Morphology
