gene_symbol,Ssr2
gene_accession_id,MGI:1913506
analysis_id,rc4hq6215bb5wwe
mouse_life_stage,Early adult
pvalue,0.3022122
parameter_id,IMPC_HEM_003_001
mouse_strain,C57BL
parameter_name,Hemoglobin
