parameter_name,Placenta Morphology
mouse_life_stage,Early adult
parameter_id,IMPC_GPO_002_001
gene_symbol,Dcaf12
gene_accession_id,MGI:1916220
mouse_strain,C57BL
analysis_id,88q194p1053u012
pvalue,0.6877982
