parameter_name,Ulna
gene_symbol,Ints7
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_023_001
pvalue,0.4595722
analysis_id,h719tuzbse58ydx
gene_accession_id,MGI:1924315
mouse_strain,C57BL
