gene_symbol,Ufc1
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
analysis_id,n1w8b9mmt4hi90p
parameter_id,MGP_MLN_005_001
mouse_life_stage,Early adult
pvalue,0.6918396
mouse_strain,C57BL
gene_accession_id,MGI:1913405
