parameter_name,Periphery resting time
mouse_life_stage,Early adult
pvalue,0.8437795
parameter_id,HRWLLA_OFD_011_001
mouse_strain,C57BL
gene_accession_id,MGI:97054
gene_symbol,Mov10
analysis_id,2981ng956oipf65
