parameter_name,Iris/Pupil
gene_accession_id,MGI:1921493
gene_symbol,Slx4ip
pvalue,0.4284446
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_EYE_010_001
analysis_id,69yy81q03a482ak
