parameter_name,Right kidney weight
mouse_strain,C57BL
parameter_id,IMPC_OWT_004_001
analysis_id,01vyyf59gh2qa76
gene_accession_id,MGI:104848
gene_symbol,Inpp1
mouse_life_stage,Early adult
pvalue,0.05961406
