gene_symbol,Gpbp1l1
mouse_life_stage,Early adult
analysis_id,8617ku2i4h60686
pvalue,0.7582908
parameter_name,Body Weight
mouse_strain,C57BL
parameter_id,M-G-P_020_001_001
gene_accession_id,MGI:1924360
