parameter_name,QT
analysis_id,ae1bs6k2u14z5yl
mouse_strain,129SV
pvalue,0.8382045
gene_symbol,Mms22l
parameter_id,IMPC_ECG_028_001
gene_accession_id,MGI:2684980
mouse_life_stage,Early adult
