parameter_name,Percentage center time
gene_symbol,Rufy4
mouse_life_stage,Early adult
gene_accession_id,MGI:3588214
pvalue,0.1847519
mouse_strain,C57BL
analysis_id,107f91l10307iir
parameter_id,IMPC_OFD_022_001
