analysis_id,1u80r386hnf244x
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
pvalue,0.999431
parameter_name,Neutrophils
parameter_id,IMPC_IMM_050_001
mouse_life_stage,Early adult
mouse_strain,129SV
