analysis_id,5wx013w5bk27471
parameter_id,HRWLLA_OFD_010_001
mouse_strain,C57BL
gene_symbol,Hspa5
pvalue,0.8298909
parameter_name,Periphery distance travelled
gene_accession_id,MGI:95835
mouse_life_stage,E9.5
