gene_symbol,Car13
analysis_id,2b3v65uc2ru6u19
mouse_life_stage,Early adult
gene_accession_id,MGI:1931322
pvalue,0.5878385
mouse_strain,C57BL
parameter_id,MGP_IMM_004_001
parameter_name,Total CD4+ T cells - % of ab T cells
