analysis_id,sd5b7o6wl228o31
mouse_strain,C57BL
gene_accession_id,MGI:99501
pvalue,0.5960575
parameter_id,IMPC_DXA_008_001
parameter_name,Lean/Body weight
mouse_life_stage,E12.5
gene_symbol,Fgb
