gene_symbol,Ddx27
parameter_id,JAXLA_CBC_015_001
parameter_name,Total cholesterol
gene_accession_id,MGI:2385884
mouse_life_stage,Early adult
analysis_id,2om5n76v7zzmcc7
mouse_strain,C57BL
pvalue,0.7136028
