parameter_name,lens opacity
pvalue,0.7990642
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
parameter_id,M-G-P_014_001_010
analysis_id,8kw05a9g957zygg
gene_symbol,Kdm4c
mouse_strain,C57BL
