analysis_id,32mhxwr9621goge
parameter_id,IMPC_CSD_029_001
gene_accession_id,MGI:1913483
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.3793908
gene_symbol,Dmap1
parameter_name,Activity (body position)
