parameter_name,Center average speed
gene_symbol,Stk35
analysis_id,3bq3s5il73t0fsp
pvalue,0.9799561
mouse_strain,C57BL
parameter_id,JAX_OFD_017_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914583
