analysis_id,wuh14cxs785yckc
parameter_id,IMPC_ABR_002_001
gene_symbol,Ahctf1
mouse_strain,C57BL
pvalue,0.2771421
parameter_name,Click-evoked ABR threshold
gene_accession_id,MGI:1915033
mouse_life_stage,Early adult
