analysis_id,9wxq974t460qrgm
parameter_name,Embryo turning
gene_accession_id,MGI:1914437
mouse_life_stage,Early adult
pvalue,0.8240079
mouse_strain,C57BL
parameter_id,IMPC_GEL_011_001
gene_symbol,Zmynd19
