parameter_id,MGP_PBI_033_001
mouse_strain,C57BL
gene_accession_id,MGI:2674093
gene_symbol,Psd4
analysis_id,3wsiy34mur8zp92
parameter_name,CD8+ KLRG1+ alpha beta T cell number
mouse_life_stage,Early adult
pvalue,0.2856987
