gene_symbol,Npbwr1
analysis_id,ay56tcegv671t90
parameter_name,CD4+ T helper cells - % of CD45+
gene_accession_id,MGI:891989
pvalue,0.4837009
parameter_id,MGP_IMM_072_001
mouse_life_stage,Early adult
mouse_strain,C59BL
