analysis_id,k627r1i776hpk28
gene_accession_id,MGI:1914256
mouse_strain,C57BL
parameter_id,MGP_MLN_063_001
gene_symbol,Cisd2
mouse_life_stage,Early adult
parameter_name,Total ab T cells - % of CD45+
pvalue,0.8571484
