analysis_id,3q04t02fuy5lvke
parameter_name,Retinal Blood Vessels
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_024_001
pvalue,0.6725827
mouse_strain,C57BL
gene_accession_id,MGI:1914561
gene_symbol,Nanp
