analysis_id,ob424m38rlxb0t6
parameter_name,Head coat/hair presence
pvalue,0.2969044
parameter_id,MGP_CSD_015_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Sfpq
gene_accession_id,MGI:1918764
