gene_symbol,Gfi1b
gene_accession_id,MGI:1276578
parameter_name,Center distance travelled
analysis_id,83i1t361284o4x1
mouse_life_stage,Early adult
parameter_id,JAX_OFD_014_001
mouse_strain,C57BL
pvalue,0.5715686
