parameter_id,IMPC_GRS_009_001
mouse_strain,C57BL
gene_symbol,Toporsl
gene_accession_id,MGI:1915524
mouse_life_stage,Early adult
pvalue,0.2309997
analysis_id,38z68u89p096dr7
parameter_name,Forelimb and hindlimb grip strength measurement mean
