analysis_id,87dc92bqisd5e2g
parameter_name,DN CD44+CD62L+ NKT cells
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,IMPC_IMM_047_001
gene_accession_id,MGI:1914071
pvalue,0.579878
gene_symbol,Bcs1l
