gene_symbol,Lamb3
gene_accession_id,MGI:99915
analysis_id,7m8igb2p6tqi5v2
mouse_life_stage,Early adult
parameter_name,Alkaline phosphatase
pvalue,0.8366713
parameter_id,HRWLLA_CBC_014_001
mouse_strain,C57BL
