gene_symbol,Bmi1
mouse_life_stage,E12.5
analysis_id,64n72l3ff9dsbcd
parameter_id,IMPC_ECG_003_001
pvalue,0.3792968
parameter_name,CV
mouse_strain,C57BL
gene_accession_id,MGI:88174
