parameter_name,Vocalization
mouse_strain,C57BL
analysis_id,6g0ed568437a287
pvalue,0.7177328
gene_symbol,Snap23
mouse_life_stage,Late adult
gene_accession_id,MGI:109356
parameter_id,IMPC_CSD_078_001
