gene_symbol,Ubxn4
pvalue,0.9725466
mouse_strain,C57BL
analysis_id,2142v4b4sp9kaw2
parameter_name,CD8 CD44+CD62L- T cells
mouse_life_stage,Late adult
gene_accession_id,MGI:1915062
parameter_id,IMPC_IMM_032_001
