parameter_name,Neutrophil differential count
gene_symbol,Rgs20
parameter_id,IMPC_HEM_029_001
gene_accession_id,MGI:1929866
pvalue,0.7558776
mouse_strain,C57BL
analysis_id,67g8700cm4l652k
mouse_life_stage,Early adult
