parameter_name,Facial Morphology
gene_accession_id,MGI:104848
pvalue,0.2849588
gene_symbol,Inpp1
parameter_id,IMPC_GEP_017_001
mouse_strain,C57BL
analysis_id,g09s16c4155b3p1
mouse_life_stage,Early adult
