analysis_id,6xue5m8859y3h23
parameter_name,Red blood cell count
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_id,ESLIM_016_001_002
gene_symbol,Snap23
gene_accession_id,MGI:109356
pvalue,0.07237624
