analysis_id,gn8k37garuovbf8
parameter_name,Joints
mouse_strain,C57BL
gene_symbol,Rab17
pvalue,0.9574
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_027_001
gene_accession_id,MGI:104640
