analysis_id,12665747eg60fd2
mouse_life_stage,E15.5
parameter_name,Body Weight
gene_symbol,Fgb
mouse_strain,C57BL
parameter_id,M-G-P_012_001_005
gene_accession_id,MGI:99501
pvalue,0.9158625
