parameter_name,Fractional Shortening
pvalue,0.5549908
analysis_id,8tm531u5e8vg610
mouse_strain,129SV
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
parameter_id,IMPC_ECH_005_001
mouse_life_stage,Early adult
