parameter_id,JAX_SLW_014_001
parameter_name,Breath rate during sleep standard deviation
pvalue,0.1128539
mouse_strain,C57BL
gene_symbol,Rhbg
gene_accession_id,MGI:1927379
analysis_id,245g19c3yr1768a
mouse_life_stage,Early adult
