analysis_id,mwz3phg33ag9948
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
parameter_id,IMPC_CSD_028_001
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
pvalue,0.5685592
parameter_name,Snout size
