analysis_id,gl901y52124tr8d
gene_accession_id,MGI:1914071
gene_symbol,Bcs1l
pvalue,0.5603754
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
parameter_id,JAXLA_GRS_011_001
mouse_strain,C57BL
mouse_life_stage,Early adult
