analysis_id,w1cm6z1ytt2gio0
pvalue,0.1994233
mouse_life_stage,Early adult
parameter_name,Spleen weight
mouse_strain,C52BL
gene_symbol,Dnaaf9
gene_accession_id,MGI:1923029
parameter_id,UCD_OWT_003_001
