parameter_name,Lower teeth appearance
mouse_strain,C57BL
parameter_id,IMPC_CSD_070_001
gene_accession_id,MGI:1346088
gene_symbol,Cd52
analysis_id,nts66p529651wzt
mouse_life_stage,Early adult
pvalue,0.5478297
