analysis_id,z891qk0k7yj78iw
gene_accession_id,MGI:1913483
parameter_name,KLRG1+ gd T cells - % of CD45+
gene_symbol,Dmap1
mouse_life_stage,Early adult
pvalue,0.3392941
mouse_strain,C57BL
parameter_id,MGP_IMM_089_001
