analysis_id,10el28ijs84ffx3
mouse_strain,C57BL
gene_symbol,Dmap1
mouse_life_stage,E9.5
gene_accession_id,MGI:1913483
parameter_name,CD103+ CD11b-low cDC - % of CD45+
parameter_id,MGP_IMM_131_001
pvalue,0.9743406
