analysis_id,v0hf06lb49n86e3
gene_accession_id,MGI:106659
pvalue,0.7109593
parameter_name,Startle Response
gene_symbol,Sprr1b
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,M-G-P_008_001_013
