analysis_id,8kwt92b0pmuwm2l
gene_accession_id,MGI:1924054
pvalue,0.1850836
parameter_id,JAXLA_CSD_041_002
parameter_name,Hindpaw - size
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Kdm4c
