parameter_name,Retinal Blood Vessels
gene_accession_id,MGI:3026886
mouse_strain,C57BL
pvalue,0.954334
parameter_id,IMPC_EYE_024_001
analysis_id,7813ttk6l82s6m6
gene_symbol,Cdin1
mouse_life_stage,E9.5
