analysis_id,essg2ha9p218en7
gene_symbol,Abo
parameter_name,Total food intake
pvalue,0.7484577
mouse_life_stage,Early adult
gene_accession_id,MGI:2135738
parameter_id,IMPC_CAL_008_001
mouse_strain,C57BL
