gene_symbol,Galk2
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_BMI_006_001
pvalue,0.8838314
analysis_id,995j554ez2765l5
gene_accession_id,MGI:1917226
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
