analysis_id,gi6m46t0581483r
pvalue,0.6887472
parameter_id,MGP_IMM_017_001
gene_symbol,Nipal3
mouse_life_stage,Early adult
mouse_strain,129SV
gene_accession_id,MGI:1921802
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
