Gene_symbol,Cd52
Gene_accession_id,MGI:1346088
Mouse_strain,C57BL
Parameter_id,M-G-P_005_001_004
Pvalue,0.2910094
Parameter_name,Bone Mineral Density (excluding skull)
Mouse_life_stage,Early adult
Analysis_id,m9k2a89t35x9c0h
