parameter_name,cDCs CD11b Type
gene_accession_id,MGI:88461
analysis_id,4glsj97442y17j2
parameter_id,IMPC_IMM_073_001
pvalue,0.1113181
gene_symbol,Col6a3
mouse_strain,C57BL
mouse_life_stage,Early adult
