parameter_name,Clavicle
parameter_id,IMPC_XRY_007_001
analysis_id,10361w7u0i1vyyt
gene_accession_id,MGI:1336200
gene_symbol,Hpca
pvalue,0.6727921
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
