analysis_id,74et3r148t2a271
gene_accession_id,MGI:1920344
parameter_name,Gait
mouse_strain,C57BL
parameter_id,IMPC_CSD_033_001
gene_symbol,Sgip1
pvalue,0.3084899
mouse_life_stage,Early adult
