analysis_id,f33u020h5pw233p
gene_symbol,Cldn19
gene_accession_id,MGI:3033992
parameter_name,Bone Area
mouse_life_stage,Early adult
pvalue,0.2898715
parameter_id,IMPC_DXA_010_001
mouse_strain,C57BL
