gene_symbol,Psd4
analysis_id,fy5ulv4281781t4
pvalue,0.8238982
gene_accession_id,MGI:2674093
parameter_name,Radius
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_022_001
