parameter_id,MGP_IMM_081_001
pvalue,0.7582783
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_name,Effector CD8+ T cells - % of CD45+
gene_accession_id,MGI:104848
gene_symbol,Inpp1
analysis_id,624oe9xa7265m0c
