gene_symbol,Nemp2
parameter_id,IMPC_ECH_018_001
mouse_life_stage,Early adult
parameter_name,Respiration Rate
analysis_id,3cqss77if69aj16
mouse_strain,C57BL
pvalue,0.5225281
gene_accession_id,MGI:2444113
