mouse_life_stage,Early adult
gene_accession_id,MGI:2444777
gene_symbol,Ncaph
pvalue,0.6386569
analysis_id,018gp06jfirf77e
parameter_id,ESLIM_011_001_007
mouse_strain,C57BL
parameter_name,PP1 + pulse startle magnitude
