parameter_name,Tibia length
pvalue,0.3550277
analysis_id,69mh5175841gs4f
mouse_life_stage,Early adult
gene_symbol,Tubb4b
mouse_strain,C57BL
parameter_id,TCPLA_XRY_033_001
gene_accession_id,MGI:1915472
