gene_symbol,Plcb1
parameter_name,KLRG1+ gd T cells - % of CD45+
pvalue,0.8876707
analysis_id,mckd8d89w46i376
mouse_strain,C57BL
parameter_id,MGP_IMM_089_001
mouse_life_stage,Late adult
gene_accession_id,MGI:97613
