gene_symbol,F2
mouse_strain,C57BL
gene_accession_id,MGI:88380
parameter_id,IMPC_GEL_011_001
mouse_life_stage,Early adult
parameter_name,Embryo turning
analysis_id,n6q476qkux92vu9
pvalue,0.09768537
